audit_unit_sequence,audit_unit_id,audit_priority,evidence_route,profile_count,markets,normalized_source_domain,profile_keys,titles,addresses,observed_categories,source_website_urls,source_phones,direct_profile_evidence_urls,official_site_search_urls,profile_search_urls,decision_boundary
1,eligibility_review_block:5b6be2e06fc03bf0,1,shared_domain_block,2,LA_CA_L,aplahealth.org,google:cid:14523467718029744471 || google:cid:14508613773664398805,"APLA Health Center, Long Beach || APLA Health, Gleicher/Chen Health Center, Baldwin Hills","1043 Elm Ave #302, Long Beach, CA 90813 || 3743 S La Brea Ave, Los Angeles, CA 90016",Medical clinic,https://aplahealth.org/locations/apla-health-center-long-beach/ || https://aplahealth.org/locations/gleicher-chen-health-center-baldwin-hills/,+1562-247-7740 || +1323-329-9900,https://www.google.com/maps?cid=14523467718029744471 || https://www.google.com/maps?cid=14508613773664398805,https://www.google.com/search?q=site%3Aaplahealth.org+%22APLA+Health+Center%2C+Long+Beach%22+dental+dentist+patients || https://www.google.com/search?q=site%3Aaplahealth.org+%22APLA+Health%2C+Gleicher%2FChen+Health+Center%2C+Baldwin+Hills%22+dental+dentist+patients,https://www.google.com/search?q=%22APLA+Health+Center%2C+Long+Beach%22+%221043+Elm+Ave+%23302%2C+Long+Beach%2C+CA+90813%22+%22%2B1562-247-7740%22+dentist+dental+patients || https://www.google.com/search?q=%22APLA+Health%2C+Gleicher%2FChen+Health+Center%2C+Baldwin+Hills%22+%223743+S+La+Brea+Ave%2C+Los+Angeles%2C+CA+90016%22+%22%2B1323-329-9900%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
2,eligibility_review_block:2bb67c50689b2015,1,shared_domain_block,2,LA_CA_L,jwchinstitute.org,google:cid:11366871718438330174 || google:cid:12666400545154698834,Jwch Clinic || Wesley Health Centers - Weingart Clinic,"954 N Vermont Ave, Los Angeles, CA 90029 || 515 E 6th St, Los Angeles, CA 90021",Medical clinic,http://jwchinstitute.org/ || https://jwchinstitute.org/,+1323-454-4850 || +1213-270-6564,https://www.google.com/maps?cid=11366871718438330174 || https://www.google.com/maps?cid=12666400545154698834,https://www.google.com/search?q=site%3Ajwchinstitute.org+%22Jwch+Clinic%22+dental+dentist+patients || https://www.google.com/search?q=site%3Ajwchinstitute.org+%22Wesley+Health+Centers+-+Weingart+Clinic%22+dental+dentist+patients,https://www.google.com/search?q=%22Jwch+Clinic%22+%22954+N+Vermont+Ave%2C+Los+Angeles%2C+CA+90029%22+%22%2B1323-454-4850%22+dentist+dental+patients || https://www.google.com/search?q=%22Wesley+Health+Centers+-+Weingart+Clinic%22+%22515+E+6th+St%2C+Los+Angeles%2C+CA+90021%22+%22%2B1213-270-6564%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
3,eligibility_review_block:2536fc2305e6878b,1,shared_domain_block,3,Eureka_CA_S,opendoorhealth.com,google:cid:2468268097554676926 || google:cid:6832263757888478173 || google:cid:3539046292069828800,Open Door Member Services Department || Redwood Community Health Center || Telehealth & Visiting Specialist Center,"1522 3rd St, Eureka, CA 95501 || 2350 Buhne St, Eureka, CA 95501 || 2426 Buhne St, Eureka, CA 95501",Community health center,http://opendoorhealth.com/opendoor/?page_id=458 || http://opendoorhealth.com/opendoor/?page_id=6181 || http://opendoorhealth.com/opendoor/locations/mobile-health-services/,+1707-269-7073 || +1707-443-4593 || +1707-443-4666,https://www.google.com/maps?cid=2468268097554676926 || https://www.google.com/maps?cid=6832263757888478173 || https://www.google.com/maps?cid=3539046292069828800,https://www.google.com/search?q=site%3Aopendoorhealth.com+%22Open+Door+Member+Services+Department%22+dental+dentist+patients || https://www.google.com/search?q=site%3Aopendoorhealth.com+%22Redwood+Community+Health+Center%22+dental+dentist+patients || https://www.google.com/search?q=site%3Aopendoorhealth.com+%22Telehealth+%26+Visiting+Specialist+Center%22+dental+dentist+patients,https://www.google.com/search?q=%22Open+Door+Member+Services+Department%22+%221522+3rd+St%2C+Eureka%2C+CA+95501%22+%22%2B1707-269-7073%22+dentist+dental+patients || https://www.google.com/search?q=%22Redwood+Community+Health+Center%22+%222350+Buhne+St%2C+Eureka%2C+CA+95501%22+%22%2B1707-443-4593%22+dentist+dental+patients || https://www.google.com/search?q=%22Telehealth+%26+Visiting+Specialist+Center%22+%222426+Buhne+St%2C+Eureka%2C+CA+95501%22+%22%2B1707-443-4666%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
4,eligibility_review_block:d37a7d944a1edc24,1,shared_domain_block,2,LA_CA_L,roadsfoundation.org,google:cid:11660717878363179238 || google:cid:17876263272543066434,ROADS Community Clinic - Compton || ROADS Community Clinic - Lynwood,"121 S Long Beach Blvd, Compton, CA 90221 || 3737 Martin Luther King Jr Blvd Ste 402, Lynwood, CA 90262",Community health center,https://roadsfoundation.org/locations/roads-community-clinic-compton/ || https://roadsfoundation.org/,+1855-645-0033 || +1310-639-9363,https://www.google.com/maps?cid=11660717878363179238 || https://www.google.com/maps?cid=17876263272543066434,https://www.google.com/search?q=site%3Aroadsfoundation.org+%22ROADS+Community+Clinic+-+Compton%22+dental+dentist+patients || https://www.google.com/search?q=site%3Aroadsfoundation.org+%22ROADS+Community+Clinic+-+Lynwood%22+dental+dentist+patients,https://www.google.com/search?q=%22ROADS+Community+Clinic+-+Compton%22+%22121+S+Long+Beach+Blvd%2C+Compton%2C+CA+90221%22+%22%2B1855-645-0033%22+dentist+dental+patients || https://www.google.com/search?q=%22ROADS+Community+Clinic+-+Lynwood%22+%223737+Martin+Luther+King+Jr+Blvd+Ste+402%2C+Lynwood%2C+CA+90262%22+%22%2B1310-639-9363%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
5,eligibility_review_block:612ba7b4fee98150,1,shared_domain_block,2,LA_CA_L,serenitycarehealthgroup.org,google:cid:3932807939064839266 || google:cid:6241950912401221942,"Serenity Care Health Group - Atlantic Adult Clinic || Serenity Care Health Group, FQHC-LAL","780 Atlantic Ave 2nd Floor, Long Beach, CA 90813 || 1930 E Anaheim St, Long Beach, CA 90813",Community health center,https://serenitycarehealthgroup.org/atlantic-adult-clinic/?utm_source=gmb&utm_medium=organic || https://serenitycarehealthgroup.org/?utm_source=gmb&utm_medium=organic,+1562-580-0955 || +1562-478-4102,https://www.google.com/maps?cid=3932807939064839266 || https://www.google.com/maps?cid=6241950912401221942,https://www.google.com/search?q=site%3Aserenitycarehealthgroup.org+%22Serenity+Care+Health+Group+-+Atlantic+Adult+Clinic%22+dental+dentist+patients || https://www.google.com/search?q=site%3Aserenitycarehealthgroup.org+%22Serenity+Care+Health+Group%2C+FQHC-LAL%22+dental+dentist+patients,https://www.google.com/search?q=%22Serenity+Care+Health+Group+-+Atlantic+Adult+Clinic%22+%22780+Atlantic+Ave+2nd+Floor%2C+Long+Beach%2C+CA+90813%22+%22%2B1562-580-0955%22+dentist+dental+patients || https://www.google.com/search?q=%22Serenity+Care+Health+Group%2C+FQHC-LAL%22+%221930+E+Anaheim+St%2C+Long+Beach%2C+CA+90813%22+%22%2B1562-478-4102%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
6,eligibility_review_block:5d71e81bea632f59,1,shared_domain_block,3,Atlanta_GA_L || NYC_NY_L,smiledirectclub.com,google:cid:11085259445198486597 || google:cid:11474776953858767803 || google:cid:9001258392962397789,Smile Direct Club,"Located in Peachtree Offices, 3355 Lenox Rd NE Suite 750, Atlanta, GA 30326 || 242 5th Ave, New York, NY 10001 || 525 Atlantic Ave, Brooklyn, NY 11217",Health and beauty shop,https://smiledirectclub.com/location?shop=Atlanta%20-%20Buckhead%20Lenox&shopId=4a3982e2-1c0d-475f-8ffd-b33206a658e7 || https://smiledirectclub.com/smileshops/flat-iron-nyc/ || https://smiledirectclub.com/smileshops/brooklyn-downtown/,+1800-688-4010,https://www.google.com/maps?cid=11085259445198486597 || https://www.google.com/maps?cid=11474776953858767803 || https://www.google.com/maps?cid=9001258392962397789,https://www.google.com/search?q=site%3Asmiledirectclub.com+%22Smile+Direct+Club%22+dental+dentist+patients,https://www.google.com/search?q=%22Smile+Direct+Club%22+%22Located+in+Peachtree+Offices%2C+3355+Lenox+Rd+NE+Suite+750%2C+Atlanta%2C+GA+30326%22+%22%2B1800-688-4010%22+dentist+dental+patients || https://www.google.com/search?q=%22Smile+Direct+Club%22+%22242+5th+Ave%2C+New+York%2C+NY+10001%22+%22%2B1800-688-4010%22+dentist+dental+patients || https://www.google.com/search?q=%22Smile+Direct+Club%22+%22525+Atlantic+Ave%2C+Brooklyn%2C+NY+11217%22+%22%2B1800-688-4010%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
7,eligibility_review_block:e334db8bc5dab65b,1,shared_domain_block,2,NYC_NY_L,www.advantagecaredtc.org,google:cid:15663490496687216379 || google:cid:15902478855329350188,"Advantage Care Health Centers || Advantage Care Health Centers, Brookville, Freeport","230 Hanse Ave, Freeport, NY 11520 || 189 Wheatley Rd, Glen Head, NY 11545",Community health center,http://www.advantagecaredtc.org/,+1516-686-4400,https://www.google.com/maps?cid=15663490496687216379 || https://www.google.com/maps?cid=15902478855329350188,https://www.google.com/search?q=site%3Awww.advantagecaredtc.org+%22Advantage+Care+Health+Centers%22+dental+dentist+patients || https://www.google.com/search?q=site%3Awww.advantagecaredtc.org+%22Advantage+Care+Health+Centers%2C+Brookville%2C+Freeport%22+dental+dentist+patients,https://www.google.com/search?q=%22Advantage+Care+Health+Centers%22+%22230+Hanse+Ave%2C+Freeport%2C+NY+11520%22+%22%2B1516-686-4400%22+dentist+dental+patients || https://www.google.com/search?q=%22Advantage+Care+Health+Centers%2C+Brookville%2C+Freeport%22+%22189+Wheatley+Rd%2C+Glen+Head%2C+NY+11545%22+%22%2B1516-686-4400%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
8,eligibility_review_block:412c3c0374129aa8,1,shared_domain_block,3,Augusta_GA_L,www.alas-csra.org,google:cid:2881003103519768575 || google:cid:16620118602434899245 || google:cid:1016625347654546775,ALAS Free Women's Clinic || Centro Médico || Clínica Latina,"904 Merry St, Augusta, GA 30904",Free clinic,https://www.alas-csra.org/womens-clinic || http://www.alas-csra.org/ || http://www.alas-csra.org/clinica-latina-1,+1706-426-1643 || +1706-940-2527,https://www.google.com/maps?cid=2881003103519768575 || https://www.google.com/maps?cid=16620118602434899245 || https://www.google.com/maps?cid=1016625347654546775,https://www.google.com/search?q=site%3Awww.alas-csra.org+%22ALAS+Free+Women%27s+Clinic%22+dental+dentist+patients || https://www.google.com/search?q=site%3Awww.alas-csra.org+%22Centro+M%C3%A9dico%22+dental+dentist+patients || https://www.google.com/search?q=site%3Awww.alas-csra.org+%22Cl%C3%ADnica+Latina%22+dental+dentist+patients,https://www.google.com/search?q=%22ALAS+Free+Women%27s+Clinic%22+%22904+Merry+St%2C+Augusta%2C+GA+30904%22+%22%2B1706-426-1643%22+dentist+dental+patients || https://www.google.com/search?q=%22Centro+M%C3%A9dico%22+%22904+Merry+St%2C+Augusta%2C+GA+30904%22+dentist+dental+patients || https://www.google.com/search?q=%22Cl%C3%ADnica+Latina%22+%22904+Merry+St%2C+Augusta%2C+GA+30904%22+%22%2B1706-940-2527%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
9,eligibility_review_block:b8163eeba9b28cea,1,shared_domain_block,2,NYC_NY_L,www.centurymedicaldental.com,google:cid:11156333151333039142 || google:cid:8026919671469686565,"Century Medical & Dental Center | Brooklyn, Gravesend || Century Medical & Dental Center | South Bronx","260 Avenue X, Brooklyn, NY 11223 || 425 Westchester Ave, Bronx, NY 10455",Medical Center,https://www.centurymedicaldental.com/gravesend-brooklyn-ny-11223/ || https://www.centurymedicaldental.com/bronx-ny-10455/,+1718-336-8855 || +1718-705-2555,https://www.google.com/maps?cid=11156333151333039142 || https://www.google.com/maps?cid=8026919671469686565,https://www.google.com/search?q=site%3Awww.centurymedicaldental.com+%22Century+Medical+%26+Dental+Center+%7C+Brooklyn%2C+Gravesend%22+dental+dentist+patients || https://www.google.com/search?q=site%3Awww.centurymedicaldental.com+%22Century+Medical+%26+Dental+Center+%7C+South+Bronx%22+dental+dentist+patients,https://www.google.com/search?q=%22Century+Medical+%26+Dental+Center+%7C+Brooklyn%2C+Gravesend%22+%22260+Avenue+X%2C+Brooklyn%2C+NY+11223%22+%22%2B1718-336-8855%22+dentist+dental+patients || https://www.google.com/search?q=%22Century+Medical+%26+Dental+Center+%7C+South+Bronx%22+%22425+Westchester+Ave%2C+Bronx%2C+NY+10455%22+%22%2B1718-705-2555%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
10,eligibility_review_block:9d918db41789d360,1,shared_domain_block,2,NYC_NY_L,www.chnnyc.org,google:cid:12592558756776222246 || google:cid:162871782998748986,Community Healthcare Network – Williamsburg || Community Healthcare Network- Sutphin Boulevard,"94-98 Manhattan Ave, Brooklyn, NY 11206 || 97-04 Sutphin Blvd, Jamaica, NY 11435",Medical clinic,https://www.chnnyc.org/williamsburg/ || https://www.chnnyc.org/sutphin-blvd-health-center/,+1718-388-0390 || +1718-657-7088,https://www.google.com/maps?cid=12592558756776222246 || https://www.google.com/maps?cid=162871782998748986,https://www.google.com/search?q=site%3Awww.chnnyc.org+%22Community+Healthcare+Network+%E2%80%93+Williamsburg%22+dental+dentist+patients || https://www.google.com/search?q=site%3Awww.chnnyc.org+%22Community+Healthcare+Network-+Sutphin+Boulevard%22+dental+dentist+patients,https://www.google.com/search?q=%22Community+Healthcare+Network+%E2%80%93+Williamsburg%22+%2294-98+Manhattan+Ave%2C+Brooklyn%2C+NY+11206%22+%22%2B1718-388-0390%22+dentist+dental+patients || https://www.google.com/search?q=%22Community+Healthcare+Network-+Sutphin+Boulevard%22+%2297-04+Sutphin+Blvd%2C+Jamaica%2C+NY+11435%22+%22%2B1718-657-7088%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
