profile_audit_sequence,decision_id,market,profile_key,title,address,observed_sources,observed_categories,observed_source_decisions,profile_status_basis,allowed_manual_decisions,manual_decision,decision_evidence,evidence_url,reviewed_by,reviewed_on,category_group_id,category_rule_pattern,category_rule_reasons,unknown_categories,dental_title_signals,nondental_title_signals,category_nonprovider_signals,suggested_manual_decision,review_tier,suggestion_basis,automatic_final_decision_applied,source_phone,source_domain,source_website_url,source_votes_count,source_latitude,source_longitude,verified_decision_applied,direct_profile_evidence_url,existing_evidence_route,normalized_source_domain,review_block_id,review_block_basis,row_review_note,audit_unit_profile_count,evidence_route,audit_priority,profile_search_query,profile_search_url,official_site_search_query,official_site_search_url,audit_rule
1,profile:LA_CA_L:google:cid:14523467718029744471,LA_CA_L,google:cid:14523467718029744471,"APLA Health Center, Long Beach","1043 Elm Ave #302, Long Beach, CA 90813",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1562-247-7740,aplahealth.org,https://aplahealth.org/locations/apla-health-center-long-beach/,84.0,33.779705,-118.188409,False,https://www.google.com/maps?cid=14523467718029744471,website_then_google_profile,aplahealth.org,eligibility_review_block:5b6be2e06fc03bf0,shared_domain_within_category_group,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review.",2,shared_domain_block,1,"""APLA Health Center, Long Beach"" ""1043 Elm Ave #302, Long Beach, CA 90813"" ""+1562-247-7740"" dentist dental patients",https://www.google.com/search?q=%22APLA+Health+Center%2C+Long+Beach%22+%221043+Elm+Ave+%23302%2C+Long+Beach%2C+CA+90813%22+%22%2B1562-247-7740%22+dentist+dental+patients,"site:aplahealth.org ""APLA Health Center, Long Beach"" dental dentist patients",https://www.google.com/search?q=site%3Aaplahealth.org+%22APLA+Health+Center%2C+Long+Beach%22+dental+dentist+patients,Verify current patient-facing dental service for this exact profile and address; a shared domain alone is not a decision.
2,profile:LA_CA_L:google:cid:14508613773664398805,LA_CA_L,google:cid:14508613773664398805,"APLA Health, Gleicher/Chen Health Center, Baldwin Hills","3743 S La Brea Ave, Los Angeles, CA 90016",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1323-329-9900,aplahealth.org,https://aplahealth.org/locations/gleicher-chen-health-center-baldwin-hills/,71.0,34.018727,-118.356329,False,https://www.google.com/maps?cid=14508613773664398805,website_then_google_profile,aplahealth.org,eligibility_review_block:5b6be2e06fc03bf0,shared_domain_within_category_group,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review.",2,shared_domain_block,1,"""APLA Health, Gleicher/Chen Health Center, Baldwin Hills"" ""3743 S La Brea Ave, Los Angeles, CA 90016"" ""+1323-329-9900"" dentist dental patients",https://www.google.com/search?q=%22APLA+Health%2C+Gleicher%2FChen+Health+Center%2C+Baldwin+Hills%22+%223743+S+La+Brea+Ave%2C+Los+Angeles%2C+CA+90016%22+%22%2B1323-329-9900%22+dentist+dental+patients,"site:aplahealth.org ""APLA Health, Gleicher/Chen Health Center, Baldwin Hills"" dental dentist patients",https://www.google.com/search?q=site%3Aaplahealth.org+%22APLA+Health%2C+Gleicher%2FChen+Health+Center%2C+Baldwin+Hills%22+dental+dentist+patients,Verify current patient-facing dental service for this exact profile and address; a shared domain alone is not a decision.
3,profile:LA_CA_L:google:cid:11366871718438330174,LA_CA_L,google:cid:11366871718438330174,Jwch Clinic,"954 N Vermont Ave, Los Angeles, CA 90029",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1323-454-4850,jwchinstitute.org,http://jwchinstitute.org/,14.0,34.0888909,-118.2914886,False,https://www.google.com/maps?cid=11366871718438330174,website_then_google_profile,jwchinstitute.org,eligibility_review_block:2bb67c50689b2015,shared_domain_within_category_group,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review.",2,shared_domain_block,1,"""Jwch Clinic"" ""954 N Vermont Ave, Los Angeles, CA 90029"" ""+1323-454-4850"" dentist dental patients",https://www.google.com/search?q=%22Jwch+Clinic%22+%22954+N+Vermont+Ave%2C+Los+Angeles%2C+CA+90029%22+%22%2B1323-454-4850%22+dentist+dental+patients,"site:jwchinstitute.org ""Jwch Clinic"" dental dentist patients",https://www.google.com/search?q=site%3Ajwchinstitute.org+%22Jwch+Clinic%22+dental+dentist+patients,Verify current patient-facing dental service for this exact profile and address; a shared domain alone is not a decision.
4,profile:LA_CA_L:google:cid:12666400545154698834,LA_CA_L,google:cid:12666400545154698834,Wesley Health Centers - Weingart Clinic,"515 E 6th St, Los Angeles, CA 90021",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1213-270-6564,jwchinstitute.org,https://jwchinstitute.org/,6.0,34.042216,-118.2447028,False,https://www.google.com/maps?cid=12666400545154698834,website_then_google_profile,jwchinstitute.org,eligibility_review_block:2bb67c50689b2015,shared_domain_within_category_group,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review.",2,shared_domain_block,1,"""Wesley Health Centers - Weingart Clinic"" ""515 E 6th St, Los Angeles, CA 90021"" ""+1213-270-6564"" dentist dental patients",https://www.google.com/search?q=%22Wesley+Health+Centers+-+Weingart+Clinic%22+%22515+E+6th+St%2C+Los+Angeles%2C+CA+90021%22+%22%2B1213-270-6564%22+dentist+dental+patients,"site:jwchinstitute.org ""Wesley Health Centers - Weingart Clinic"" dental dentist patients",https://www.google.com/search?q=site%3Ajwchinstitute.org+%22Wesley+Health+Centers+-+Weingart+Clinic%22+dental+dentist+patients,Verify current patient-facing dental service for this exact profile and address; a shared domain alone is not a decision.
5,profile:Eureka_CA_S:google:cid:2468268097554676926,Eureka_CA_S,google:cid:2468268097554676926,Open Door Member Services Department,"1522 3rd St, Eureka, CA 95501",maps_core,Community health center,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:75eedbc19c8622b7,manual_review,Community health center: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1707-269-7073,opendoorhealth.com,http://opendoorhealth.com/opendoor/?page_id=458,9.0,40.8053948,-124.1553488,False,https://www.google.com/maps?cid=2468268097554676926,website_then_google_profile,opendoorhealth.com,eligibility_review_block:2536fc2305e6878b,shared_domain_within_category_group,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review.",3,shared_domain_block,1,"""Open Door Member Services Department"" ""1522 3rd St, Eureka, CA 95501"" ""+1707-269-7073"" dentist dental patients",https://www.google.com/search?q=%22Open+Door+Member+Services+Department%22+%221522+3rd+St%2C+Eureka%2C+CA+95501%22+%22%2B1707-269-7073%22+dentist+dental+patients,"site:opendoorhealth.com ""Open Door Member Services Department"" dental dentist patients",https://www.google.com/search?q=site%3Aopendoorhealth.com+%22Open+Door+Member+Services+Department%22+dental+dentist+patients,Verify current patient-facing dental service for this exact profile and address; a shared domain alone is not a decision.
6,profile:Eureka_CA_S:google:cid:6832263757888478173,Eureka_CA_S,google:cid:6832263757888478173,Redwood Community Health Center,"2350 Buhne St, Eureka, CA 95501",maps_core,Community health center,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:75eedbc19c8622b7,manual_review,Community health center: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1707-443-4593,opendoorhealth.com,http://opendoorhealth.com/opendoor/?page_id=6181,101.0,40.7852436,-124.1422364,False,https://www.google.com/maps?cid=6832263757888478173,website_then_google_profile,opendoorhealth.com,eligibility_review_block:2536fc2305e6878b,shared_domain_within_category_group,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review.",3,shared_domain_block,1,"""Redwood Community Health Center"" ""2350 Buhne St, Eureka, CA 95501"" ""+1707-443-4593"" dentist dental patients",https://www.google.com/search?q=%22Redwood+Community+Health+Center%22+%222350+Buhne+St%2C+Eureka%2C+CA+95501%22+%22%2B1707-443-4593%22+dentist+dental+patients,"site:opendoorhealth.com ""Redwood Community Health Center"" dental dentist patients",https://www.google.com/search?q=site%3Aopendoorhealth.com+%22Redwood+Community+Health+Center%22+dental+dentist+patients,Verify current patient-facing dental service for this exact profile and address; a shared domain alone is not a decision.
7,profile:Eureka_CA_S:google:cid:3539046292069828800,Eureka_CA_S,google:cid:3539046292069828800,Telehealth & Visiting Specialist Center,"2426 Buhne St, Eureka, CA 95501",maps_core,Community health center,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:75eedbc19c8622b7,manual_review,Community health center: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1707-443-4666,opendoorhealth.com,http://opendoorhealth.com/opendoor/locations/mobile-health-services/,44.0,40.7856598,-124.140686,False,https://www.google.com/maps?cid=3539046292069828800,website_then_google_profile,opendoorhealth.com,eligibility_review_block:2536fc2305e6878b,shared_domain_within_category_group,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review.",3,shared_domain_block,1,"""Telehealth & Visiting Specialist Center"" ""2426 Buhne St, Eureka, CA 95501"" ""+1707-443-4666"" dentist dental patients",https://www.google.com/search?q=%22Telehealth+%26+Visiting+Specialist+Center%22+%222426+Buhne+St%2C+Eureka%2C+CA+95501%22+%22%2B1707-443-4666%22+dentist+dental+patients,"site:opendoorhealth.com ""Telehealth & Visiting Specialist Center"" dental dentist patients",https://www.google.com/search?q=site%3Aopendoorhealth.com+%22Telehealth+%26+Visiting+Specialist+Center%22+dental+dentist+patients,Verify current patient-facing dental service for this exact profile and address; a shared domain alone is not a decision.
8,profile:LA_CA_L:google:cid:11660717878363179238,LA_CA_L,google:cid:11660717878363179238,ROADS Community Clinic - Compton,"121 S Long Beach Blvd, Compton, CA 90221",business_listings,Community health center,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:75eedbc19c8622b7,manual_review,Community health center: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1855-645-0033,roadsfoundation.org,https://roadsfoundation.org/locations/roads-community-clinic-compton/,197.0,33.894956,-118.208363,False,https://www.google.com/maps?cid=11660717878363179238,website_then_google_profile,roadsfoundation.org,eligibility_review_block:d37a7d944a1edc24,shared_domain_within_category_group,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review.",2,shared_domain_block,1,"""ROADS Community Clinic - Compton"" ""121 S Long Beach Blvd, Compton, CA 90221"" ""+1855-645-0033"" dentist dental patients",https://www.google.com/search?q=%22ROADS+Community+Clinic+-+Compton%22+%22121+S+Long+Beach+Blvd%2C+Compton%2C+CA+90221%22+%22%2B1855-645-0033%22+dentist+dental+patients,"site:roadsfoundation.org ""ROADS Community Clinic - Compton"" dental dentist patients",https://www.google.com/search?q=site%3Aroadsfoundation.org+%22ROADS+Community+Clinic+-+Compton%22+dental+dentist+patients,Verify current patient-facing dental service for this exact profile and address; a shared domain alone is not a decision.
9,profile:LA_CA_L:google:cid:17876263272543066434,LA_CA_L,google:cid:17876263272543066434,ROADS Community Clinic - Lynwood,"3737 Martin Luther King Jr Blvd Ste 402, Lynwood, CA 90262",business_listings,Community health center,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:75eedbc19c8622b7,manual_review,Community health center: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1310-639-9363,roadsfoundation.org,https://roadsfoundation.org/,10.0,33.9288011,-118.20028,False,https://www.google.com/maps?cid=17876263272543066434,website_then_google_profile,roadsfoundation.org,eligibility_review_block:d37a7d944a1edc24,shared_domain_within_category_group,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review.",2,shared_domain_block,1,"""ROADS Community Clinic - Lynwood"" ""3737 Martin Luther King Jr Blvd Ste 402, Lynwood, CA 90262"" ""+1310-639-9363"" dentist dental patients",https://www.google.com/search?q=%22ROADS+Community+Clinic+-+Lynwood%22+%223737+Martin+Luther+King+Jr+Blvd+Ste+402%2C+Lynwood%2C+CA+90262%22+%22%2B1310-639-9363%22+dentist+dental+patients,"site:roadsfoundation.org ""ROADS Community Clinic - Lynwood"" dental dentist patients",https://www.google.com/search?q=site%3Aroadsfoundation.org+%22ROADS+Community+Clinic+-+Lynwood%22+dental+dentist+patients,Verify current patient-facing dental service for this exact profile and address; a shared domain alone is not a decision.
10,profile:LA_CA_L:google:cid:3932807939064839266,LA_CA_L,google:cid:3932807939064839266,Serenity Care Health Group - Atlantic Adult Clinic,"780 Atlantic Ave 2nd Floor, Long Beach, CA 90813",business_listings,Community health center,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:75eedbc19c8622b7,manual_review,Community health center: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1562-580-0955,serenitycarehealthgroup.org,https://serenitycarehealthgroup.org/atlantic-adult-clinic/?utm_source=gmb&utm_medium=organic,,33.7763243,-118.1847838,False,https://www.google.com/maps?cid=3932807939064839266,website_then_google_profile,serenitycarehealthgroup.org,eligibility_review_block:612ba7b4fee98150,shared_domain_within_category_group,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review.",2,shared_domain_block,1,"""Serenity Care Health Group - Atlantic Adult Clinic"" ""780 Atlantic Ave 2nd Floor, Long Beach, CA 90813"" ""+1562-580-0955"" dentist dental patients",https://www.google.com/search?q=%22Serenity+Care+Health+Group+-+Atlantic+Adult+Clinic%22+%22780+Atlantic+Ave+2nd+Floor%2C+Long+Beach%2C+CA+90813%22+%22%2B1562-580-0955%22+dentist+dental+patients,"site:serenitycarehealthgroup.org ""Serenity Care Health Group - Atlantic Adult Clinic"" dental dentist patients",https://www.google.com/search?q=site%3Aserenitycarehealthgroup.org+%22Serenity+Care+Health+Group+-+Atlantic+Adult+Clinic%22+dental+dentist+patients,Verify current patient-facing dental service for this exact profile and address; a shared domain alone is not a decision.
