market,profile_key,title,address,manual_decision,decision_evidence,evidence_url,reviewed_by,reviewed_on
Atlanta_GA_L,google:cid:14826937450612169934,Atlanta Veterinary Dentistry,"8097 Roswell Rd Bldg F, Atlanta, GA 30350",exclude_non_dentist_category,Veterinary dentistry rather than human dental care.,https://atlantaveterinarydentistry.net/,category_identity_audit,2026-09-24
Atlanta_GA_L,google:cid:3689234672713981475,Emory Clinic General/vsclr Surgery,"1365 Clifton Rd NE Bldg C, Atlanta, GA 30322",include_dental_provider,Official Emory provider pages identify patient-facing oral and maxillofacial surgery at 1365 Clifton Road.,https://www.emoryhealthcare.org/providers/james-jeong-2591884,targeted_profile_evidence_audit,2026-09-24
Atlanta_GA_L,google:cid:12773958067227470323,Good Samaritan Health Center,"1015 Donald Lee Hollowell Pkwy NW, Atlanta, GA 30318",include_dental_provider,Official location page matches the address and identifies dental care within its patient services.,https://goodsamatlanta.org/location/,official_site_audit,2026-09-24
Atlanta_GA_L,google:cid:2318105929422082567,Mercy Care,"424 Decatur St. SE, Atlanta, GA 30312",include_dental_provider,Official Mercy Care services page identifies dental care at the Decatur Street clinic and matches the address.,https://mercyatlanta.org/services/,official_site_audit,2026-09-24
Atlanta_GA_L,google:cid:7070886758225630371,Reilly Dental,"1150 Hammond Dr, Atlanta, GA 30328",include_dental_provider,Exact title and linked source identify a patient-facing dental provider.,http://www.perimeterdentalassociates.com/,focused_title_evidence_audit,2026-09-24
Atlanta_GA_L,google:cid:11085259445198486597,Smile Direct Club,"Located in Peachtree Offices, 3355 Lenox Rd NE Suite 750, Atlanta, GA 30326",exclude_non_dentist_category,"SmileDirectClub ceased global operations in December 2023, so this historical storefront is not a current patient-facing dental provider.",https://apnews.com/article/smiledirectclub-shuts-down-teeth-aligners-84ae3f8b0b5d8de5c4952208087e817a,official_and_authoritative_web_audit,2026-09-24
Atlanta_GA_L,google:cid:6885250673203378333,Southside Medical Center,"1046 Ridge Ave SW #4, Atlanta, GA 30315",include_dental_provider,Official dental page matches 1046 Ridge Ave and offers patient dental care.,https://southsidemedical.net/dental/,focused_title_evidence_audit,2026-09-24
Atlanta_GA_L,google:cid:5043981146667545184,Veterinary Dental Center of Atlanta,"8097 Roswell Rd Bldg F, Atlanta, GA 30350",exclude_non_dentist_category,Veterinary dentistry rather than human dental care.,https://vdcatlanta.com/,category_identity_audit,2026-09-24
Augusta_GA_L,google:cid:2881003103519768575,ALAS Free Women's Clinic,"904 Merry St, Augusta, GA 30904",exclude_non_dentist_category,Official ALAS Women’s Clinic page matches the address and lists women’s health services rather than dental care.,https://www.alas-csra.org/womens-clinic,official_and_authoritative_web_audit,2026-09-24
Augusta_GA_L,google:cid:16620118602434899245,Centro Médico,"904 Merry St, Augusta, GA 30904",exclude_non_dentist_category,Centro Médico is the shared center/building label rather than a distinct patient dental provider profile; dental activity at the address belongs to separately named programs.,https://www.alas-csra.org/,official_and_authoritative_web_audit,2026-09-24
Augusta_GA_L,google:cid:1155020191173974679,Charlie Norwood VA Medical Center - Downtown Division,"950 15th St, Augusta, GA 30901",exclude_non_dentist_category,Exact title and linked source identify a non-dental medical or institutional listing; no exact-location dental service was found.,http://www.augusta.va.gov/,focused_title_evidence_audit,2026-09-24
Augusta_GA_L,google:cid:3372177001440411258,Charlie Norwood VA Medical Center - Uptown Division,"1 Freedom Way, Augusta, GA 30904",exclude_non_dentist_category,Exact title and linked source identify a non-dental medical or institutional listing; no exact-location dental service was found.,http://www.augusta.va.gov/,focused_title_evidence_audit,2026-09-24
Augusta_GA_L,google:cid:10189885467258094965,Christ Community Health Medical District,"1226 D'Antignac St, Augusta, GA 30901",exclude_non_dentist_category,Exact title and linked source identify a non-dental medical or institutional listing; no exact-location dental service was found.,https://www.cchsaugusta.org/,focused_title_evidence_audit,2026-09-24
Augusta_GA_L,google:cid:371877985928288149,Christ Community Health Olde Town,"127 Telfair St, Augusta, GA 30901",include_dental_provider,Official health-center site matches the Olde Town address and documents dental care within the organization.,https://www.cchsaugusta.org/about/,official_site_audit,2026-09-24
Augusta_GA_L,google:cid:1016625347654546775,Clínica Latina,"904 Merry St, Augusta, GA 30904",exclude_non_dentist_category,Official Clínica Latina page matches the address and lists primary medical services rather than patient dental care.,https://www.alas-csra.org/clinica-latina-1,official_and_authoritative_web_audit,2026-09-24
Augusta_GA_L,google:cid:11022410293483888400,DDEAMC Dental Clinic,"Augusta, GA 30905",include_dental_provider,Official Eisenhower Army Medical Center page documents a patient-serving hospital dental clinic in Fort Eisenhower/Augusta.,https://eisenhower.tricare.mil/Health-Services/Dental/Hospital-Dental-Clinic,official_site_audit,2026-09-24
Augusta_GA_L,google:cid:6212271873494307269,Dental College of Georgia,"1430 John Wesley Gilbert Drive, Augusta, GA 30912",include_dental_provider,Official site confirms patient appointments and dental clinics at the exact address.,https://web2.augusta.edu/dentalmedicine/about-us/contactus.php,official_site_audit,2026-09-24
