decision_id,market,profile_key,title,address,observed_sources,observed_categories,observed_source_decisions,profile_status_basis,allowed_manual_decisions,manual_decision,decision_evidence,evidence_url,reviewed_by,reviewed_on
profile:Atlanta_GA_L:google:cid:9703449588133452397,Atlanta_GA_L,google:cid:9703449588133452397,1800 Εmergеncy Dеntist Atlantа 24 Hоur,"5573 Glen Haven Dr, Atlanta, GA 30349",maps_core,Dental hygienist,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:15238724917012847112,Atlanta_GA_L,google:cid:15238724917012847112,3Sixty Corporate Office,"6445 Powers Ferry Rd NW Suite #360, Atlanta, GA 30339",business_listings,Corporate office,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:14826937450612169934,Atlanta_GA_L,google:cid:14826937450612169934,Atlanta Veterinary Dentistry,"8097 Roswell Rd Bldg F, Atlanta, GA 30350",business_listings,Veterinarian,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:17353219978550111353,Atlanta_GA_L,google:cid:17353219978550111353,Cigna,"2 Peachtree St, Atlanta, GA 30303",maps_core,Corporate office,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:664114471230519840,Atlanta_GA_L,google:cid:664114471230519840,Dr. Benjamin Blackburn,"75 Piedmont Ave NE Ste 400, Atlanta, GA 30303",business_listings|maps_specialist,Pediatrician|Periodontist,automatic_include|needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:3689234672713981475,Atlanta_GA_L,google:cid:3689234672713981475,Emory Clinic General/vsclr Surgery,"1365 Clifton Rd NE Bldg C, Atlanta, GA 30322",business_listings|maps_specialist,Oral surgeon|Surgical center,automatic_include|needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:11970192833599671661,Atlanta_GA_L,google:cid:11970192833599671661,Fellowship For Christian,"2100 Riveredge Pkwy, Atlanta, GA 30328",business_listings,Religious organization,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:8914701910281558014,Atlanta_GA_L,google:cid:8914701910281558014,Georgia Department of Community Health,"2 M.L.K. Jr Dr SE, Atlanta, GA 30334",maps_core,Public health department,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:1014165455047184436,Atlanta_GA_L,google:cid:1014165455047184436,Georgia State University Student Clinic,"75 Piedmont Ave NE Ste 200, Atlanta, GA 30312",maps_core,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:12773958067227470323,Atlanta_GA_L,google:cid:12773958067227470323,Good Samaritan Health Center,"1015 Donald Lee Hollowell Pkwy NW, Atlanta, GA 30318",business_listings|maps_core,Dental clinic|Medical clinic,automatic_include|needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:13898945642818331032,Atlanta_GA_L,google:cid:13898945642818331032,Grady Health System,"80 Jesse Hill Jr Dr SE, Atlanta, GA 30303",maps_core,Hospital,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:11854729160242446516,Atlanta_GA_L,google:cid:11854729160242446516,Grady Urgent Care Center,"56 Jesse Hill Jr Dr SE, Atlanta, GA 30303",maps_core,Urgent care center,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:13815089370373089399,Atlanta_GA_L,google:cid:13815089370373089399,Healing Community Center,"1188 Ralph David Abernathy Blvd SW, Atlanta, GA 30310",maps_core,Community health center,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:2389707156626682339,Atlanta_GA_L,google:cid:2389707156626682339,Lee Denture Lab,"171 Cleveland Ave SW, Atlanta, GA 30315",business_listings,Denture care center,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:2428785299818441667,Atlanta_GA_L,google:cid:2428785299818441667,Medhanie Berhane,"2020 Peachtree Rd NW, Atlanta, GA 30309",business_listings,Surgeon,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:2318105929422082567,Atlanta_GA_L,google:cid:2318105929422082567,Mercy Care,"424 Decatur St. SE, Atlanta, GA 30312",business_listings|maps_core,Dentist|Medical clinic,automatic_include|needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:16152439090923692825,Atlanta_GA_L,google:cid:16152439090923692825,Mercy Care at Gateway Center,"275 Pryor St SW, Atlanta, GA 30303",maps_core,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:14051362357773369561,Atlanta_GA_L,google:cid:14051362357773369561,Ponce De Leon Center,"341 Ponce De Leon Ave NE, Atlanta, GA 30308",business_listings,STD clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:7070886758225630371,Atlanta_GA_L,google:cid:7070886758225630371,Reilly Dental,"1150 Hammond Dr, Atlanta, GA 30328",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:2869506919639306180,Atlanta_GA_L,google:cid:2869506919639306180,Sleep Better Georgia,"1719 Mt Vernon Rd, Dunwoody, GA 30338",business_listings,Sleep clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:11085259445198486597,Atlanta_GA_L,google:cid:11085259445198486597,Smile Direct Club,"Located in Peachtree Offices, 3355 Lenox Rd NE Suite 750, Atlanta, GA 30326",business_listings,Health and beauty shop,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:17876037465300181764,Atlanta_GA_L,google:cid:17876037465300181764,Southside Health Care Inc: Mills Anthony MD,"1046 Ridge Ave SW #4, Atlanta, GA 30315",business_listings,Medical Center,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:6885250673203378333,Atlanta_GA_L,google:cid:6885250673203378333,Southside Medical Center,"1046 Ridge Ave SW #4, Atlanta, GA 30315",maps_core,Medical Center,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:6442774181064297868,Atlanta_GA_L,google:cid:6442774181064297868,"The Family Health Centers of Georgia, Inc.","868 York Ave SW, Atlanta, GA 30310",maps_core,Medical Center,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
profile:Atlanta_GA_L:google:cid:5043981146667545184,Atlanta_GA_L,google:cid:5043981146667545184,Veterinary Dental Center of Atlanta,"8097 Roswell Rd Bldg F, Atlanta, GA 30350",business_listings,Veterinarian,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,
