decision_id,market,profile_key,title,address,observed_sources,observed_categories,observed_source_decisions,profile_status_basis,allowed_manual_decisions,manual_decision,decision_evidence,evidence_url,reviewed_by,reviewed_on,category_group_id,category_rule_pattern,category_rule_reasons,unknown_categories,dental_title_signals,nondental_title_signals,category_nonprovider_signals,suggested_manual_decision,review_tier,suggestion_basis,automatic_final_decision_applied,source_phone,source_domain,source_website_url,source_votes_count,source_latitude,source_longitude,direct_profile_evidence_url,existing_evidence_route,normalized_source_domain,review_block_id,review_block_basis,row_review_note
profile:NYC_NY_L:google:cid:3018543719665768431,NYC_NY_L,google:cid:3018543719665768431,NYUDentalUrgentCareCtr,"345 E 24th St, New York, NY 10010",business_listings,Academic department,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:02dcfcd73b831370,unknown,,Academic department,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1212-998-9800,dental.nyu.edu,https://dental.nyu.edu/patientcare/emergency-services-urgent-care.html,144.0,40.7383132,-73.9785261,https://www.google.com/maps?cid=3018543719665768431,website_then_google_profile,dental.nyu.edu,eligibility_review_block:31d3e981a102c5ae,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:NYC_NY_L:google:cid:12734663689420348493,NYC_NY_L,google:cid:12734663689420348493,Meadow Park Rehab & Healthcare,"78-10 164th St, Fresh Meadows, NY 11366",business_listings,Nursing home,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:0ec14e66a4663c8f,unknown,,Nursing home,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1718-591-8300,meadowparkrehab.com,http://meadowparkrehab.com/,239.0,40.722552,-73.8049346,https://www.google.com/maps?cid=12734663689420348493,website_then_google_profile,meadowparkrehab.com,eligibility_review_block:6f72609514868811,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:NYC_NY_L:google:cid:18214434003362221946,NYC_NY_L,google:cid:18214434003362221946,Hanna Face and Jaw,"521 Park Ave C, New York, NY 10065",business_listings,Surgical center,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:0f60d922875b512e,manual_review,Surgical center: Category alone does not establish whether oral surgery is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1212-779-2787,hannafacejaw.com,https://hannafacejaw.com/,80.0,40.7636187,-73.9689386,https://www.google.com/maps?cid=18214434003362221946,website_then_google_profile,hannafacejaw.com,eligibility_review_block:f1045a1bbc2540fa,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:NYC_NY_L:google:cid:36045056295983553,NYC_NY_L,google:cid:36045056295983553,Akpinar Bill B,"61-10 Marathon Pkwy, Flushing, NY 11362",business_listings,Acupuncturist,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:109ca635159bfcf9,unknown,,Acupuncturist,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1718-428-2780,,,14.0,40.7566135,-73.7297387,https://www.google.com/maps?cid=36045056295983553,google_profile_only,,eligibility_review_block:42983d00b3e73cf7,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:Macon_GA_M:google:cid:14174239940159880544,Macon_GA_M,google:cid:14174239940159880544,Macon Holistic,"1080 3rd St Ste 200, Macon, GA 31201",maps_core,Acupuncture clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:11aa1e916db1aa85,unknown,,Acupuncture clinic,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1478-284-1576,maconholistic.com,http://maconholistic.com/,37.0,32.8279774,-83.6333236,https://www.google.com/maps?cid=14174239940159880544,website_then_google_profile,maconholistic.com,eligibility_review_block:fde81239f988589c,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:LA_CA_L:google:cid:10073033236181205716,LA_CA_L,google:cid:10073033236181205716,"Ardeshir Soroushyari, M.D.","5411 Etiwanda Ave #200, Tarzana, CA 91356",business_listings,Internist,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:190ff23a6596779d,unknown,,Internist,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1818-996-5700,www.cedars-sinai.org,https://www.cedars-sinai.org/provider/ardeshir-soroushyari-2644702.html,16.0,34.1692466,-118.5313568,https://www.google.com/maps?cid=10073033236181205716,website_then_google_profile,www.cedars-sinai.org,eligibility_review_block:009142746158e259,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:NYC_NY_L:google:cid:5699955828418129941,NYC_NY_L,google:cid:5699955828418129941,Be Well Primary Health Care Center,"3007 Farragut Rd, Brooklyn, NY 11210",business_listings,Internist,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:190ff23a6596779d,unknown,,Internist,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1718-253-9355,www.bewellmedical.com,http://www.bewellmedical.com/,379.0,40.6364519,-73.94771539999999,https://www.google.com/maps?cid=5699955828418129941,website_then_google_profile,www.bewellmedical.com,eligibility_review_block:2fed6c001288880a,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:NYC_NY_L:google:cid:3053711292195176961,NYC_NY_L,google:cid:3053711292195176961,"Deborah M. Swiderski, MD","111 E 210th St, Bronx, NY 10467",business_listings,Internist,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:190ff23a6596779d,unknown,,Internist,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1718-920-5521,,,,40.8799679,-73.8798813,https://www.google.com/maps?cid=3053711292195176961,google_profile_only,,eligibility_review_block:c63ebf933de2b9bd,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:NYC_NY_L:google:cid:1252474763438112699,NYC_NY_L,google:cid:1252474763438112699,Uppal Rajinder MD,"16-70 Putnam Ave, Ridgewood, NY 11385",business_listings,Internist,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:190ff23a6596779d,unknown,,Internist,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1718-417-7200,,,3.0,40.6998081,-73.90705679999999,https://www.google.com/maps?cid=1252474763438112699,google_profile_only,,eligibility_review_block:e04220e4e9f72fb1,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:Atlanta_GA_L:google:cid:2428785299818441667,Atlanta_GA_L,google:cid:2428785299818441667,Medhanie Berhane,"2020 Peachtree Rd NW, Atlanta, GA 30309",business_listings,Surgeon,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:1a7fe0b72a158684,unknown,,Surgeon,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1404-350-3602,,,,33.8101669,-84.3940369,https://www.google.com/maps?cid=2428785299818441667,google_profile_only,,eligibility_review_block:a6f1f36cba13bcc3,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
