decision_id,market,profile_key,title,address,observed_sources,observed_categories,observed_source_decisions,profile_status_basis,allowed_manual_decisions,manual_decision,decision_evidence,evidence_url,reviewed_by,reviewed_on,category_group_id,category_rule_pattern,category_rule_reasons,unknown_categories,dental_title_signals,nondental_title_signals,category_nonprovider_signals,suggested_manual_decision,review_tier,suggestion_basis,automatic_final_decision_applied
profile:NYC_NY_L:google:cid:3018543719665768431,NYC_NY_L,google:cid:3018543719665768431,NYUDentalUrgentCareCtr,"345 E 24th St, New York, NY 10010",business_listings,Academic department,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:02dcfcd73b831370,unknown,,Academic department,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:NYC_NY_L:google:cid:12734663689420348493,NYC_NY_L,google:cid:12734663689420348493,Meadow Park Rehab & Healthcare,"78-10 164th St, Fresh Meadows, NY 11366",business_listings,Nursing home,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:0ec14e66a4663c8f,unknown,,Nursing home,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:NYC_NY_L:google:cid:18214434003362221946,NYC_NY_L,google:cid:18214434003362221946,Hanna Face and Jaw,"521 Park Ave C, New York, NY 10065",business_listings,Surgical center,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:0f60d922875b512e,manual_review,Surgical center: Category alone does not establish whether oral surgery is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:NYC_NY_L:google:cid:36045056295983553,NYC_NY_L,google:cid:36045056295983553,Akpinar Bill B,"61-10 Marathon Pkwy, Flushing, NY 11362",business_listings,Acupuncturist,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:109ca635159bfcf9,unknown,,Acupuncturist,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:Macon_GA_M:google:cid:14174239940159880544,Macon_GA_M,google:cid:14174239940159880544,Macon Holistic,"1080 3rd St Ste 200, Macon, GA 31201",maps_core,Acupuncture clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:11aa1e916db1aa85,unknown,,Acupuncture clinic,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:LA_CA_L:google:cid:10073033236181205716,LA_CA_L,google:cid:10073033236181205716,"Ardeshir Soroushyari, M.D.","5411 Etiwanda Ave #200, Tarzana, CA 91356",business_listings,Internist,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:190ff23a6596779d,unknown,,Internist,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:NYC_NY_L:google:cid:5699955828418129941,NYC_NY_L,google:cid:5699955828418129941,Be Well Primary Health Care Center,"3007 Farragut Rd, Brooklyn, NY 11210",business_listings,Internist,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:190ff23a6596779d,unknown,,Internist,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:NYC_NY_L:google:cid:3053711292195176961,NYC_NY_L,google:cid:3053711292195176961,"Deborah M. Swiderski, MD","111 E 210th St, Bronx, NY 10467",business_listings,Internist,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:190ff23a6596779d,unknown,,Internist,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:NYC_NY_L:google:cid:1252474763438112699,NYC_NY_L,google:cid:1252474763438112699,Uppal Rajinder MD,"16-70 Putnam Ave, Ridgewood, NY 11385",business_listings,Internist,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:190ff23a6596779d,unknown,,Internist,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:Atlanta_GA_L:google:cid:2428785299818441667,Atlanta_GA_L,google:cid:2428785299818441667,Medhanie Berhane,"2020 Peachtree Rd NW, Atlanta, GA 30309",business_listings,Surgeon,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:1a7fe0b72a158684,unknown,,Surgeon,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:SanFrancisco_CA_L:google:cid:7955568972727550025,SanFrancisco_CA_L,google:cid:7955568972727550025,HealthRIGHT 360,"1563 Mission St, San Francisco, CA 94103",maps_core,Addiction treatment center,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:1c581a3afe68aaf2,unknown,,Addiction treatment center,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:LA_CA_L:google:cid:8520393266508949767,LA_CA_L,google:cid:8520393266508949767,K9 Loft,"450 S Arroyo Pkwy, Pasadena, CA 91105",business_listings,Kennel,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:1d59b7122da080e0,unknown,,Kennel,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:NYC_NY_L:google:cid:8627939193481494640,NYC_NY_L,google:cid:8627939193481494640,Art Investment Consultancy,"851 5th Ave, New York, NY 10065",business_listings,Art gallery,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:2828f45881a41726,unknown,,Art gallery,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:LA_CA_L:google:cid:1041337711816604659,LA_CA_L,google:cid:1041337711816604659,100 Black Men of Los Angeles,"3701 Stocker St #309a, Los Angeles, CA 90008",business_listings,Non-profit organization,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:284d9dbfa1c169a1,unknown,,Non-profit organization,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:LA_CA_L:google:cid:856027905363852558,LA_CA_L,google:cid:856027905363852558,Comprehensive Community Health Centers - Eagle Rock,"1704 Colorado Blvd, Los Angeles, CA 90041",business_listings,Non-profit organization,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:284d9dbfa1c169a1,unknown,,Non-profit organization,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:NYC_NY_L:google:cid:14802067086695398071,NYC_NY_L,google:cid:14802067086695398071,Children's Aid - Dunlevy Milbank Center,"14-32 W 118th St, New York, NY 10026",business_listings,Non-profit organization,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:284d9dbfa1c169a1,unknown,,Non-profit organization,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:NYC_NY_L:google:cid:726771841321324320,NYC_NY_L,google:cid:726771841321324320,"Spanish American Medical Dental Society of New York, Inc.","104-01 Roosevelt Ave, Corona, NY 11368",business_listings,Association / Organization,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:2b363d7841954eac,unknown,,Association / Organization,dental,medical,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:NYC_NY_L:google:cid:9088123712092137469,NYC_NY_L,google:cid:9088123712092137469,Center for Hemifacial Microsomia and Ear Deformities,"1991 Marcus Ave #102, North New Hyde Park, NY 11042",business_listings,Pediatric ophthalmologist,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:2e00f425af73d508,unknown,,Pediatric ophthalmologist,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:LA_CA_L:google:cid:3964067785989222189,LA_CA_L,google:cid:3964067785989222189,Workforce Resource & Management Group,"5150 CA-1, Long Beach, CA 90804",business_listings,Consultant,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:33f2d6fdc924912e,unknown,,Consultant,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:Macon_GA_M:google:cid:135096128598810680,Macon_GA_M,google:cid:135096128598810680,North Central Health District,"201 2nd St, Macon, GA 31201",maps_core,State government office,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:35cf00a42bc08bcb,unknown,,State government office,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
profile:Atlanta_GA_L:google:cid:14051362357773369561,Atlanta_GA_L,google:cid:14051362357773369561,Ponce De Leon Center,"341 Ponce De Leon Ave NE, Atlanta, GA 30308",business_listings,STD clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:3850dec87c574304,unknown,,STD clinic,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False
