category_group_id,observed_categories,observed_source_decisions,category_rule_pattern,review_tier,suggested_manual_decision,suggestion_basis,profile_count,markets,sample_titles,group_manual_decision,group_decision_evidence,reviewed_by,reviewed_on
eligibility_group:504917ff371eb69d,Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,110,Atlanta_GA_L|Augusta_GA_L|Buffalo_NY_L|Eureka_CA_S|FortBragg_CA_S|LA_CA_L|Macon_GA_M|NYC_NY_L|SanFrancisco_CA_L|SaranacLake_NY_S|Toccoa_GA_S,"Georgia State University Student Clinic || Mercy Care at Gateway Center || Whitefoord Health Center || Whitefoord, Inc. || Christ Community Health Peach Orchard",,,,
eligibility_group:75eedbc19c8622b7,Community health center,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,28,Atlanta_GA_L|Buffalo_NY_L|Eureka_CA_S|LA_CA_L|NYC_NY_L|SanFrancisco_CA_L,Healing Community Center || Evergreen Health || Evergreen Health || Jericho Road Community Health Center at Buffalo City Mission || Neighborhood Health Center,,,,
eligibility_group:b070ffeb7e138d00,Medical Center,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,16,Atlanta_GA_L|Augusta_GA_L|Buffalo_NY_L|NYC_NY_L|SanFrancisco_CA_L,"Southside Health Care Inc: Mills Anthony MD || The Family Health Centers of Georgia, Inc. || Shifa Care Clinic || ECMC Health Campus || Oishei Healthy Kids",,,,
eligibility_group:d73fe04c4858867b,Sleep clinic,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,8,Atlanta_GA_L|LA_CA_L|NYC_NY_L,Sleep Better Georgia || Encino Center for Sleep and TMJ Disorders || Sleep Apnea Sherman Oaks || AV Sleep Company || Lower Manhattan Sleep Apnea Treatment,,,,
eligibility_group:fe4a0b2a99a6e2f0,Denture care center,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,6,Atlanta_GA_L|LA_CA_L|NYC_NY_L,Lee Denture Lab || Best Choice Denture Implants and Repair || Denture Care Services || Denture Repair and Implants || Primary Denture Repair and Implants,,,,
eligibility_group:ad9d7cea6cadeae3,Plastic surgeon,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,6,LA_CA_L|NYC_NY_L,"Beverly Hills Augmentation & Tuck || Jeffrey Ashraf Hammoudeh || Mark M. Urata, MD || Pearlman D Hicks, Jr, MD || Stepanyan Surgical Arts Center",,,,
eligibility_group:8ab421eda41309f2,Health and beauty shop,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,4,Atlanta_GA_L|Buffalo_NY_L|NYC_NY_L,Smile Direct Club || Smile Direct Club || Smile Direct Club || Smile Direct Club,,,,
eligibility_group:190ff23a6596779d,Internist,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,4,LA_CA_L|NYC_NY_L,"Ardeshir Soroushyari, M.D. || Be Well Primary Health Care Center || Deborah M. Swiderski, MD || Uppal Rajinder MD",,,,
eligibility_group:8550c2bf40cd4dfa,Free clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,3,Augusta_GA_L,ALAS Free Women's Clinic || Centro Médico || Clínica Latina,,,,
eligibility_group:3fb50d6253134f7d,Home health care service,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,3,LA_CA_L|NYC_NY_L,Comprehensive Health Care || TelerainMD-Online Doctor Consultation || Aspire Health Solutions,,,,
eligibility_group:7a6fb05b52cfaa84,Hospital,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,3,Atlanta_GA_L|Augusta_GA_L|FortBragg_CA_S,Grady Health System || VA Downtown Division || Adventist Health Mendocino Coast,,,,
eligibility_group:a7d77b97fc90c3df,Medical group,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,3,LA_CA_L|NYC_NY_L,AltaMed Medical and Dental Group - South Gate || Wesley Health Clinic || Virtual House Call Docs NYC,,,,
eligibility_group:284d9dbfa1c169a1,Non-profit organization,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,3,LA_CA_L|NYC_NY_L,100 Black Men of Los Angeles || Comprehensive Community Health Centers - Eagle Rock || Children's Aid - Dunlevy Milbank Center,,,,
