requested_location,profile_key,clinic_key,observed_sources,observed_source_count,observed_categories,observed_source_decisions,preliminary_profile_status,profile_status_basis,cid,place_id,title,category,address,zip,latitude,longitude,phone,domain,url,votes_count,observation_count,market_assignment_status,eligibility_review_status,prior_manual_profile_decision,prior_manual_decision_evidence,prior_manual_evidence_url,prior_manual_reviewed_on
Atlanta_GA_L,google:cid:10021740680929732800,google:cid:10021740680929732800,business_listings,1,Dentist,automatic_include,include_dental_provider,all_exact_profile_sources_pass_frozen_category_rule,10021740680929732800,ChIJm445CkwJ9YgRwOjlRQ1gFIs,McCurdy Mac DDS,Dentist,"1155 Hammond Dr, Atlanta, GA 30328",30328,33.9182073,-84.3499964,+1770-671-0001,www.dentfirst.com,http://www.dentfirst.com/,,1,eligible_target_zip,include_dental_provider,,,,
Atlanta_GA_L,google:cid:1002299553273323130,google:cid:1002299553273323130,business_listings|maps_core|maps_specialist,3,Dentist|Periodontist,automatic_include,include_dental_provider,all_exact_profile_sources_pass_frozen_category_rule,1002299553273323130,ChIJw-APw3oE9YgRep5jHyLi6A0,Sage Dental of Midtown Atlanta,Dentist,"1080 Peachtree St NE Unit 2, Atlanta, GA 30309",30309,33.7839725,-84.38418399999999,+1404-476-5540,mysagedental.com,https://mysagedental.com/midtown-atlanta/?utm_source=Google&utm_medium=Business_Listing,739.0,1,eligible_target_zip,include_dental_provider,,,,
Atlanta_GA_L,google:cid:10052720190877915406,google:cid:10052720190877915406,business_listings,1,Dentist,automatic_include,include_dental_provider,all_exact_profile_sources_pass_frozen_category_rule,10052720190877915406,ChIJA15QPXgE9YgRDtmsg8Bvgos,Dr. Shola Adesoji,Dentist,"229 Peachtree Rd NE #206, Atlanta, GA 30303",30303,33.759834,-84.386437,+1404-522-7913,,,,1,eligible_target_zip,include_dental_provider,,,,
Atlanta_GA_L,google:cid:10055034235361147431,google:cid:10055034235361147431,business_listings,1,Dentist,automatic_include,include_dental_provider,all_exact_profile_sources_pass_frozen_category_rule,10055034235361147431,ChIJa8PkAnAE9YgRJ7oX-1yoios,Mims Sheila,Dentist,"550 W Peachtree St NW #1220, Atlanta, GA 30308",30308,33.7675583,-84.3857852,+1404-688-6400,,,,1,eligible_target_zip,include_dental_provider,,,,
Atlanta_GA_L,google:cid:10081091563263358675,google:cid:10081091563263358675,business_listings,1,Dentist,automatic_include,include_dental_provider,all_exact_profile_sources_pass_frozen_category_rule,10081091563263358675,ChIJIS6TvcIL9YgR0_Z_aF0754s,"Amy D. Russell, DMD., LLC Family and Cosmetic Dentistry",Dentist,"1651 Mt Vernon Rd #100, Dunwoody, GA 30338",30338,33.9464243,-84.3323018,+1770-394-3920,amydrusselldmd.com,https://amydrusselldmd.com/,27.0,1,eligible_target_zip,include_dental_provider,,,,
Atlanta_GA_L,google:cid:1008828642157934540,google:cid:1008828642157934540,business_listings,1,Dentist,automatic_include,include_dental_provider,all_exact_profile_sources_pass_frozen_category_rule,1008828642157934540,ChIJrzM05mAP9YgRzDcQF04UAA4,Victor D van Greuningen DMD,Dentist,"3525 Piedmont Rd NE Bldg 6 suite 200, Atlanta, GA 30305",30305,33.8510282,-84.3766254,+1404-262-1456,vgdentistry.com,http://vgdentistry.com/,10.0,1,eligible_target_zip,include_dental_provider,,,,
Atlanta_GA_L,google:cid:1008959957275886796,google:cid:1008959957275886796,business_listings,1,Cosmetic dentist,automatic_include,include_dental_provider,all_exact_profile_sources_pass_frozen_category_rule,1008959957275886796,ChIJy2cqqBEE9YgRzMQFRryLAA4,Yvette Jefferson,Cosmetic dentist,"620 Glen Iris Dr NE, Atlanta, GA 30308",30308,33.7714796,-84.3678537,+1678-815-2878,,,,1,eligible_target_zip,include_dental_provider,,,,
Atlanta_GA_L,google:cid:10093611293228738871,google:cid:10093611293228738871,business_listings,1,Dentist,automatic_include,include_dental_provider,all_exact_profile_sources_pass_frozen_category_rule,10093611293228738871,ChIJm445CkwJ9YgRNynFMf61E4w,Hays Bruce DDS,Dentist,"1155 Hammond Dr, Atlanta, GA 30328",30328,33.9182073,-84.3499964,+1770-671-0001,www.dentfirst.com,http://www.dentfirst.com/,,1,eligible_target_zip,include_dental_provider,,,,
Atlanta_GA_L,google:cid:10095994107377325766,google:cid:10095994107377325766,business_listings,1,Dentist,automatic_include,include_dental_provider,all_exact_profile_sources_pass_frozen_category_rule,10095994107377325766,ChIJPwP5W70R9YgRxpapWCYtHIw,"Aspen Dental - Atlanta, GA (Cumberland)",Dentist,"2937 Cobb Pkwy SE Ste 100, Atlanta, GA 30339",30339,33.881224,-84.4626825,+1770-240-0328,www.aspendental.com,"https://www.aspendental.com/dentist/ga/atlanta/2937-cobb-parkway-se-ste-100?utm_source=googleplaces&utm_medium=lociqgoogleplaces&utm_campaign=Atlanta,GA-Atlanta_GA-4259&utm_content=listing",786.0,2,eligible_target_zip,include_dental_provider,,,,
Atlanta_GA_L,google:cid:10112675108359757187,google:cid:10112675108359757187,business_listings,1,Dentist,automatic_include,include_dental_provider,all_exact_profile_sources_pass_frozen_category_rule,10112675108359757187,ChIJ5QasNrIJ9YgRg923im5wV4w,FRESH DENTAL,Dentist,"3329 Chamblee Dunwoody Rd, Atlanta, GA 30341",30341,33.8920576,-84.29604289999999,+1770-733-1236,atlanta.freshdental.us,https://atlanta.freshdental.us/,489.0,1,eligible_target_zip,include_dental_provider,,,,
