category_name,business_count,google_display_category,study_decision,official_snapshot
dentist,1044046,Dentist,include,2026-09-01
dental_clinic,615920,Dental clinic,include,2026-09-01
orthodontist,140140,Orthodontist,include,2026-09-01
emergency_dental_service,64449,Emergency dental service,include,2026-09-01
oral_surgeon,91017,Oral surgeon,include,2026-09-01
pediatric_dentist,84030,Pediatric dentist,include,2026-09-01
endodontist,56193,Endodontist,include,2026-09-01
cosmetic_dentist,131969,Cosmetic dentist,include,2026-09-01
oral_maxillofacial_surgeon,20560,Oral and maxillofacial surgeon,include,2026-09-01
periodontist,39832,Periodontist,include,2026-09-01
dental_implants_provider,67924,Dental implants provider,include,2026-09-01
dental_implants_periodontist,85570,Dental implants periodontist,include,2026-09-01
prosthodontist,22870,Prosthodontist,include,2026-09-01
