clinic_key,cid,reviewed_title,manual_decision,manual_reason,evidence_url,evidence_checked_at_utc
google:cid:10023089081170886471,10023089081170886471,Poverello Health Center,exclude_non_dentist_category,Official page describes a general free health clinic and does not identify a dental practice,https://www.assumptionsyr.org/clinic,2026-09-10T00:00:00Z
google:cid:10284905533396439228,10284905533396439228,St. Joseph's Health Primary Care Center - West,exclude_non_dentist_category,Official location is a primary care center rather than a dental practice,https://www.sjhsyr.org/location/primary-care-center-west,2026-09-10T00:00:00Z
google:cid:13342480700175363501,13342480700175363501,Syracuse Community Health Center,exclude_non_dentist_category,Generic multi-service health-center listing does not isolate dental-practice ratings,https://syracusecommunityhealth.org/,2026-09-10T00:00:00Z
google:cid:13854468646583591229,13854468646583591229,Syracuse Community Health,exclude_non_dentist_category,Generic multi-service health-center listing does not isolate dental-practice ratings,https://syracusecommunityhealth.org/,2026-09-10T00:00:00Z
google:cid:14364669840247708398,14364669840247708398,Hill Medical Center,exclude_non_dentist_category,Official location is a general medical facility and the listing does not identify a dental practice,https://www.upstate.edu/directions/hillbd.php,2026-09-10T00:00:00Z
google:cid:14401702135465473440,14401702135465473440,Specialists One Day Surgery Center - Orthopedic Service at Airport Business Park,exclude_non_dentist_category,Official page identifies an orthopedic surgery center rather than a dental or oral-surgery practice,https://www.sosbones.com/one-day-surgery-center/,2026-09-10T00:00:00Z
google:cid:15470434069354500521,15470434069354500521,"Vitkus, Scutari, Cardoso, and Cunningham Oral Surgery PC",exclude_unverified_geography,Service-establishment profile has no verifiable street address or target-market ZIP,https://www.google.com/maps?cid=15470434069354500521,2026-09-10T00:00:00Z
google:cid:16348610196440118432,16348610196440118432,Syracuse Community Health,exclude_non_dentist_category,Generic multi-service health-center listing does not isolate dental-practice ratings,https://syracusecommunityhealth.org/,2026-09-10T00:00:00Z
google:cid:16781397255604516946,16781397255604516946,University Health Care Center - Pulmonary Clinic,exclude_non_dentist_category,Official listing identifies a pulmonary clinic rather than a dental practice,https://www.upstate.edu/hospital/providers/locations/?clinicID=756,2026-09-10T00:00:00Z
google:cid:1716468689995965801,1716468689995965801,Syracuse Community Health Center,exclude_non_dentist_category,Generic doctor and health-center listing does not identify a dedicated dental practice,https://www.google.com/maps?cid=1716468689995965801,2026-09-10T00:00:00Z
google:cid:18078273708401832375,18078273708401832375,Benardot Pediatrics,exclude_non_dentist_category,Official site and title identify a pediatric medical practice rather than a pediatric dentist,https://www.benardotpediatrics.com/,2026-09-10T00:00:00Z
google:cid:18155553681611922135,18155553681611922135,Central New York Cosmetic Dentistry,exclude_unverified_geography,Website describes a referral network and supplies no verifiable physical clinic address in a target ZIP,https://cnycosmeticdentist.com/,2026-09-10T00:00:00Z
google:cid:18311274619913179563,18311274619913179563,Alice Hyde Surgical Services,exclude_non_dentist_category,Official location is a general surgical service and does not identify dental or oral surgery,http://alicehyde.com/Locations-and-Directions/Detail/18,2026-09-10T00:00:00Z
google:cid:18362809590624072791,18362809590624072791,The Alice Center,exclude_non_dentist_category,Official facility is not identified as a dental practice,http://alicehyde.com/Locations-and-Directions/Detail/30,2026-09-10T00:00:00Z
google:cid:3109180546505859550,3109180546505859550,Rahma Health Clinic,exclude_non_dentist_category,Official site describes a general free medical clinic rather than a dental practice,https://www.rahmahealthclinic.com/,2026-09-10T00:00:00Z
google:cid:3461907039053480248,3461907039053480248,Upstate Specialty Services at Harrison Center,exclude_non_dentist_category,Generic multi-specialty medical listing does not identify a dedicated dental practice,http://www.upstate.edu/,2026-09-10T00:00:00Z
google:cid:3925091396093719443,3925091396093719443,Upstate Health Care Center,exclude_non_dentist_category,Generic multi-service medical-center listing does not isolate dental-practice ratings,http://www.upstate.edu/,2026-09-10T00:00:00Z
google:cid:3998976253245829747,3998976253245829747,Syracuse Community Health Center: Lukose Linda M MD,exclude_non_dentist_category,Listing identifies a physician within a multi-service health center rather than a dentist,https://www.google.com/maps?cid=3998976253245829747,2026-09-10T00:00:00Z
google:cid:4113687976767513531,4113687976767513531,Alice Hyde Medical Center,exclude_non_dentist_category,Official facility is a general medical center rather than a dental practice,http://alicehyde.com/Locations-and-Directions/Detail/9,2026-09-10T00:00:00Z
google:cid:4749277364932811259,4749277364932811259,Alice Hyde Walk-In Clinic,exclude_non_dentist_category,Official location is a medical walk-in clinic rather than a dental practice,http://alicehyde.com/Locations-and-Directions/Detail/21,2026-09-10T00:00:00Z
google:cid:9856967761415529838,9856967761415529838,Lyncourt Medical - Dental Center,exclude_non_dentist_category,Mixed medical-dental title and generic category do not isolate dental-practice ratings and no corroborating practice site was found,https://www.google.com/maps?cid=9856967761415529838,2026-09-10T00:00:00Z
