profile_key,completion_sequence,market,title,address,observed_sources,observed_categories,source_phone,source_domain,official_site_url,exact_google_profile_url,exact_title_address_search_url,organization_key,evidence_route,manual_decision,decision_evidence,evidence_url,reviewed_by,reviewed_on
google:cid:14702604690810388273,40,Augusta_GA_L,Shifa Care Clinic,"3416 Middleton Dr, Augusta, GA 30907",maps_core,Medical Center,+1706-513-0582,www.facebook.com,https://www.facebook.com/shifacareclinic,https://www.google.com/maps?cid=14702604690810388273,https://www.google.com/search?q=%22Shifa+Care+Clinic%22+%223416+Middleton+Dr%2C+Augusta%2C+GA+30907%22+dental,www.facebook.com,official_site_and_exact_profile,exclude_non_dentist_category,Official Shifa Care Clinic evidence identifies this exact address as a free primary-care clinic for uninsured patients and does not identify patient dental services.,https://www.facebook.com/shifacareclinic,Codex-assisted exact-profile audit,2026-09-25
google:cid:5839081733048392970,41,LA_CA_L,ZendyHealth,"1200 Santee St #201, Los Angeles, CA 90015",business_listings,Medical clinic,+1855-699-3639,specials.zendyhealth.com,https://specials.zendyhealth.com/hsabank/,https://www.google.com/maps?cid=5839081733048392970,https://www.google.com/search?q=%22ZendyHealth%22+%221200+Santee+St+%23201%2C+Los+Angeles%2C+CA+90015%22+dental,specials.zendyhealth.com,official_site_and_exact_profile,exclude_non_dentist_category,"Official ZendyHealth evidence identifies an online marketplace connecting patients with discounted medical and dental providers, not a patient-facing dental practice at this address.",https://zendyhealth.com/,Codex-assisted exact-profile audit,2026-09-25
google:cid:17578519269912760366,42,LA_CA_L,White Memorial Community Health Center - Plaza III,"1828 E Cesar E Chavez Ave, Los Angeles, CA 90033",business_listings,Medical clinic,+1323-987-1200,wmchealthcenter.org,https://wmchealthcenter.org/contact/,https://www.google.com/maps?cid=17578519269912760366,https://www.google.com/search?q=%22White+Memorial+Community+Health+Center+-+Plaza+III%22+%221828+E+Cesar+E+Chavez+Ave%2C+Los+Angeles%2C+CA+90033%22+dental,wmchealthcenter.org,official_site_and_exact_profile,include_dental_provider,"Official contact and patient-handbook evidence place a dental suite at Medical Plaza III, 1828 East Cesar E. Chavez Avenue.",https://wmchealthcenter.org/contact/,Codex-assisted official-site audit,2026-09-25
google:cid:10128345118129549676,43,NYC_NY_L,Restful Sleep Solution,"1725 Sheepshead Bay Rd, Brooklyn, NY 11235",business_listings,Sleep clinic,+1718-872-7830,restfulsleepsolution.com,https://restfulsleepsolution.com/contact-us,https://www.google.com/maps?cid=10128345118129549676,https://www.google.com/search?q=%22Restful+Sleep+Solution%22+%221725+Sheepshead+Bay+Rd%2C+Brooklyn%2C+NY+11235%22+dental,restfulsleepsolution.com,official_site_and_exact_profile,include_dental_provider,"Official contact and provider pages identify dental services, oral-appliance therapy, and a DDS at 1725 Sheepshead Bay Road.",https://restfulsleepsolution.com/contact-us,Codex-assisted exact-profile audit,2026-09-25
google:cid:5545151789808744503,44,NYC_NY_L,Children's Aid: Bronx Health Center,"910 E 172nd St, Bronx, NY 10460",business_listings,Medical Center,+1347-767-2200,www.childrensaidnyc.org,http://www.childrensaidnyc.org/health,https://www.google.com/maps?cid=5545151789808744503,https://www.google.com/search?q=%22Children%27s+Aid%3A+Bronx+Health+Center%22+%22910+E+172nd+St%2C+Bronx%2C+NY+10460%22+dental,www.childrensaidnyc.org,official_site_and_exact_profile,include_dental_provider,Official Children's Aid location evidence lists licensed-dentist dental services at 910 East 172nd Street.,https://www.childrensaidnyc.org/programs/location/bronx-health-center-and-foster-care-services,Codex-assisted exact-profile audit,2026-09-25
google:cid:8914701910281558014,45,Atlanta_GA_L,Georgia Department of Community Health,"2 M.L.K. Jr Dr SE, Atlanta, GA 30334",maps_core,Public health department,+1404-656-4507,dch.georgia.gov,http://dch.georgia.gov/,https://www.google.com/maps?cid=8914701910281558014,https://www.google.com/search?q=%22Georgia+Department+of+Community+Health%22+%222+M.L.K.+Jr+Dr+SE%2C+Atlanta%2C+GA+30334%22+dental,dch.georgia.gov,official_site_and_exact_profile,exclude_non_dentist_category,"The exact profile and official site identify a state public-health administration agency, not a patient-facing dental practice.",https://dch.georgia.gov/,Codex-assisted exact-profile audit,2026-09-25
google:cid:6442774181064297868,46,Atlanta_GA_L,"The Family Health Centers of Georgia, Inc.","868 York Ave SW, Atlanta, GA 30310",maps_core,Medical Center,+1404-752-1400,fhcga.org,http://fhcga.org/?utm_source=GMBSocialClimb&utm_medium=TheFamilyHealthCentersofGeorgia%2CInc.,https://www.google.com/maps?cid=6442774181064297868,https://www.google.com/search?q=%22The+Family+Health+Centers+of+Georgia%2C+Inc.%22+%22868+York+Ave+SW%2C+Atlanta%2C+GA+30310%22+dental,fhcga.org,official_site_and_exact_profile,include_dental_provider,Official FHCGA location and service evidence identifies the main center at 868 York Avenue and patient dental services provided by FHCGA dental staff.,https://fhcga.org/locations,Codex-assisted exact-profile audit,2026-09-25
google:cid:13815089370373089399,47,Atlanta_GA_L,Healing Community Center,"1188 Ralph David Abernathy Blvd SW, Atlanta, GA 30310",maps_core,Community health center,+1404-564-7749,healatlanta.org,https://healatlanta.org/,https://www.google.com/maps?cid=13815089370373089399,https://www.google.com/search?q=%22Healing+Community+Center%22+%221188+Ralph+David+Abernathy+Blvd+SW%2C+Atlanta%2C+GA+30310%22+dental,healatlanta.org,official_site_and_exact_profile,include_dental_provider,Official location evidence identifies the Abernathy Dental Clinic at 1188 Ralph David Abernathy Boulevard and states that it is open for patients.,https://healatlanta.org/locations/,Codex-assisted exact-profile audit,2026-09-25
google:cid:1014165455047184436,48,Atlanta_GA_L,Georgia State University Student Clinic,"75 Piedmont Ave NE Ste 200, Atlanta, GA 30312",maps_core,Medical clinic,+1404-413-1930,health.gsu.edu,http://health.gsu.edu/,https://www.google.com/maps?cid=1014165455047184436,https://www.google.com/search?q=%22Georgia+State+University+Student+Clinic%22+%2275+Piedmont+Ave+NE+Ste+200%2C+Atlanta%2C+GA+30312%22+dental,health.gsu.edu,official_site_and_exact_profile,exclude_non_dentist_category,Official Georgia State Student Health Clinic services at this address are medical and urgent-care services; the exact clinic is not identified as a patient-facing dental practice.,https://health.gsu.edu/,Codex-assisted exact-profile audit,2026-09-25
google:cid:2389707156626682339,49,Atlanta_GA_L,Lee Denture Lab,"171 Cleveland Ave SW, Atlanta, GA 30315",business_listings,Denture care center,+1404-762-5441,leedenturelaboratory.com,http://leedenturelaboratory.com/,https://www.google.com/maps?cid=2389707156626682339,https://www.google.com/search?q=%22Lee+Denture+Lab%22+%22171+Cleveland+Ave+SW%2C+Atlanta%2C+GA+30315%22+dental,leedenturelaboratory.com,official_site_and_exact_profile,exclude_non_dentist_category,"Exact profile identity is a denture laboratory, not a patient-facing dental practice.",https://www.google.com/maps?cid=2389707156626682339,Codex-assisted exact-profile audit,2026-09-25
