clinic_key,cid,reviewed_title,profile_decision,decision_reason,evidence_reference,evidence_checked_at_utc
google:cid:14046601137713160286,14046601137713160286,University Pulmonary Associates,exclude_profile,Official title and phone identify a pulmonary service rather than a dental provider,https://www.upstate.edu/pulmonary/,2026-09-10T00:00:00Z
google:cid:10995937555906881211,10995937555906881211,Elvaria Dental Care Syracuse,exclude_profile,Listed website domain belongs to an unrelated heating and air business,https://ontimeheating-air.cloud/,2026-09-10T00:00:00Z
google:cid:16016741430239535552,16016741430239535552,Central New York Ddso,exclude_profile,Central New York DDSO is a developmental-disabilities agency rather than a dental provider,https://opwdd.ny.gov/contact-us,2026-09-10T00:00:00Z
google:cid:8947444317591740843,8947444317591740843,Oakridge Dentist Care Syracuse,exclude_profile,Unverified zero-evidence listing duplicates the established James Street Dental Arts address,https://www.jamesstreetdentalarts.com/,2026-09-10T00:00:00Z
google:cid:1387386850805559210,1387386850805559210,Emergency Dentist Syracuse,exclude_profile,Generic listing has no verifiable phone domain or review history,https://www.google.com/maps?cid=1387386850805559210,2026-09-10T00:00:00Z
google:cid:4999207618368763138,4999207618368763138,Luna Dental Point Syracuse,exclude_profile,Generic listing has no verifiable phone domain or review history,https://www.google.com/maps?cid=4999207618368763138,2026-09-10T00:00:00Z
google:cid:8574268555178954615,8574268555178954615,A1 Dentist Syracuse,exclude_profile,Low-evidence listing uses a nonlocal phone and lacks an official practice site,https://www.google.com/maps?cid=8574268555178954615,2026-09-10T00:00:00Z
google:cid:9965487100324524483,9965487100324524483,Pleasent dentist,exclude_profile,Generic listing has no street address phone domain or review history,https://www.google.com/maps?cid=9965487100324524483,2026-09-10T00:00:00Z
google:cid:5939571421564686913,5939571421564686913,Emergency Dentist Albany,exclude_profile,Title names Albany while the listing address is in Syracuse and has no contact evidence,https://www.google.com/maps?cid=5939571421564686913,2026-09-10T00:00:00Z
google:cid:11296802841822526550,11296802841822526550,Prime Family Dental Syracuse,exclude_profile,Generic listing has no verifiable phone domain or review history,https://www.google.com/maps?cid=11296802841822526550,2026-09-10T00:00:00Z
