decision_id,market,reference_key,reference_title,reference_address,reference_zip,returned_candidate_count,fixed_identity_evidence_candidate_count,provider_closed_signal_candidate_count,best_candidate_key,best_candidate_title,best_candidate_category,best_candidate_address,best_candidate_url,best_candidate_business_status,best_candidate_provider_closed_signal,best_distance_meters,best_same_address,best_same_phone,best_same_domain,best_title_similarity,best_fixed_identity_evidence,included_in_main_discovery_pipeline,allowed_manual_decisions,manual_decision,selected_candidate_key,decision_evidence,evidence_url,reviewed_by,reviewed_on
reference_status:competition_unit:clinic:7e1883f16b70528f,Eureka_CA_S,competition_unit:clinic:7e1883f16b70528f,Family Nails & Spa,"1801 Fairfield St, Eureka, CA 95501",95501.0,1,1,0,google:cid:17392381394756290981,Family Nails & Spa,Nail salon,"1801 Fairfield St, Eureka, CA 95501",https://familynailsspaeureka.com/,,False,0.0,True,False,False,1.0,True,False,active_reference_not_rediscovered|active_renamed_or_relocated_location|active_same_historical_location|historical_location_closed|historical_reference_out_of_scope|unresolved,historical_reference_out_of_scope,,"The historical place and saved Maps result identify Family Nails & Spa at 1801 Fairfield St, Eureka, CA 95501. The returned category is Nail salon, and the title and category do not identify a patient-facing dentist or included dental specialty under the frozen study taxonomy.",https://familynailsspaeureka.com/,Codex-assisted evidence audit,2026-09-19T00:00:00Z
reference_status:competition_unit:clinic:0c714a237201494a,Eureka_CA_S,competition_unit:clinic:0c714a237201494a,Hanger Clinic: Prosthetics & Orthotics,"2773 Harris St Suite C, Eureka, CA 95501",95501.0,1,1,0,google:cid:8932883084705922901,Hanger Clinic: Prosthetics & Orthotics,Orthotics & prosthetics service,"2773 Harris St Ste C, Eureka, CA 95501",https://hangerclinic.com/clinics/CA/eureka/harris-st/,,False,0.0,False,False,False,1.0,True,False,active_reference_not_rediscovered|active_renamed_or_relocated_location|active_same_historical_location|historical_location_closed|historical_reference_out_of_scope|unresolved,historical_reference_out_of_scope,,"The historical place and saved Maps result identify Hanger Clinic: Prosthetics & Orthotics at 2773 Harris St Ste C, Eureka, CA 95501. The returned category is Orthotics & prosthetics service, and the title and category do not identify a patient-facing dentist or included dental specialty under the frozen study taxonomy.",https://hangerclinic.com/clinics/CA/eureka/harris-st/,Codex-assisted evidence audit,2026-09-19T00:00:00Z
reference_status:competition_unit:clinic:f09b0422a32617c3,Eureka_CA_S,competition_unit:clinic:f09b0422a32617c3,Humboldt County Children's Behavioral Health,"2440 6th St, Eureka, CA 95501",95501.0,1,1,0,google:cid:4755926136928726589,Humboldt County Children's Behavioral Health,Mental health service,"2440 6th St, Eureka, CA 95501",https://humboldtgov.org/1601/Childrens-Behavioral-Health-Services,,False,0.0,True,False,False,1.0,True,False,active_reference_not_rediscovered|active_renamed_or_relocated_location|active_same_historical_location|historical_location_closed|historical_reference_out_of_scope|unresolved,historical_reference_out_of_scope,,"The historical place and saved Maps result identify Humboldt County Children's Behavioral Health at 2440 6th St, Eureka, CA 95501. The returned category is Mental health service, and the title and category do not identify a patient-facing dentist or included dental specialty under the frozen study taxonomy.",https://humboldtgov.org/1601/Childrens-Behavioral-Health-Services,Codex-assisted evidence audit,2026-09-19T00:00:00Z
reference_status:competition_unit:clinic:77abe3a0f278c117,Eureka_CA_S,competition_unit:clinic:77abe3a0f278c117,Humboldt Family Service Center,"1802 California St, Eureka, CA 95501",95501.0,1,1,0,google:cid:5247255792313124781,Humboldt Family Service Center,Non-profit organization,"1802 California St, Eureka, CA 95501",http://humboldtfamily.org/,,False,0.0,True,False,False,1.0,True,False,active_reference_not_rediscovered|active_renamed_or_relocated_location|active_same_historical_location|historical_location_closed|historical_reference_out_of_scope|unresolved,historical_reference_out_of_scope,,"The historical place and saved Maps result identify Humboldt Family Service Center at 1802 California St, Eureka, CA 95501. The returned category is Non-profit organization, and the title and category do not identify a patient-facing dentist or included dental specialty under the frozen study taxonomy.",http://humboldtfamily.org/,Codex-assisted evidence audit,2026-09-19T00:00:00Z
reference_status:competition_unit:clinic:f5c43e9740aba764,Eureka_CA_S,competition_unit:clinic:f5c43e9740aba764,Myrtle Avenue Pet Center,"2725 Hubbard Ln, Eureka, CA 95501",95501.0,1,1,0,google:cid:5949346240622832979,Myrtle Avenue Pet Center,Pet supply store,"2725 Hubbard Ln, Eureka, CA 95501",http://myrtleavepetcenter.com/,,False,0.0,True,False,False,1.0,True,False,active_reference_not_rediscovered|active_renamed_or_relocated_location|active_same_historical_location|historical_location_closed|historical_reference_out_of_scope|unresolved,historical_reference_out_of_scope,,"The historical place and saved Maps result identify Myrtle Avenue Pet Center at 2725 Hubbard Ln, Eureka, CA 95501. The returned category is Pet supply store, and the title and category do not identify a patient-facing dentist or included dental specialty under the frozen study taxonomy.",http://myrtleavepetcenter.com/,Codex-assisted evidence audit,2026-09-19T00:00:00Z
reference_status:competition_unit:clinic:a52af4030707c9b1,Eureka_CA_S,competition_unit:clinic:a52af4030707c9b1,Myrtle Avenue Veterinary Hospital: Robinson Erica DVM,"2715 Hubbard Ln, Eureka, CA 95501",95501.0,1,0,0,google:cid:15234039165892868140,Myrtle Avenue Veterinary Hospital,Veterinarian,"2390 Myrtle Avenue, Eureka, CA 95501",http://www.myrtleavenuevet.com/,,False,288.978,False,False,False,0.7765,False,False,active_reference_not_rediscovered|active_renamed_or_relocated_location|active_same_historical_location|historical_location_closed|historical_reference_out_of_scope|unresolved,historical_reference_out_of_scope,,"The historical place and saved Maps result identify Myrtle Avenue Veterinary Hospital at 2390 Myrtle Avenue, Eureka, CA 95501. The returned category is Veterinarian, and the title and category do not identify a patient-facing dentist or included dental specialty under the frozen study taxonomy.",http://www.myrtleavenuevet.com/,Codex-assisted evidence audit,2026-09-19T00:00:00Z
reference_status:competition_unit:clinic:622d9118a3f2863d,Eureka_CA_S,competition_unit:clinic:622d9118a3f2863d,Providence Medical Group Eureka - Orthopedics,"2826 Harris St, Eureka, CA 95503",95503.0,1,1,0,google:cid:14688094337388084010,Providence Medical Group Eureka - Orthopedics,Orthopedic clinic,"2826 Harris St, Eureka, CA 95503",https://www.providence.org/locations/norcal/eureka-orthopedics?ls=location&y_source=1_OTU3NTc1NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,False,0.0,True,False,False,1.0,True,False,active_reference_not_rediscovered|active_renamed_or_relocated_location|active_same_historical_location|historical_location_closed|historical_reference_out_of_scope|unresolved,historical_reference_out_of_scope,,"The historical place and saved Maps result identify Providence Medical Group Eureka - Orthopedics at 2826 Harris St, Eureka, CA 95503. The returned category is Orthopedic clinic, and the title and category do not identify a patient-facing dentist or included dental specialty under the frozen study taxonomy.",https://www.providence.org/locations/norcal/eureka-orthopedics?ls=location&y_source=1_OTU3NTc1NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Codex-assisted evidence audit,2026-09-19T00:00:00Z
reference_status:competition_unit:clinic:53f780ce90449d67,Eureka_CA_S,competition_unit:clinic:53f780ce90449d67,Providence Medical Group Eureka - Pediatrics,"3200 Walford Ave, Eureka, CA 95503",95503.0,2,1,0,google:cid:16486628105975502960,Providence Medical Group Eureka - Obstetrics and Gynecology,Obstetrician-gynecologist,"3200 Walford Ave, Eureka, CA 95503",,,False,16.17,True,False,False,0.7677,True,False,active_reference_not_rediscovered|active_renamed_or_relocated_location|active_same_historical_location|historical_location_closed|historical_reference_out_of_scope|unresolved,historical_reference_out_of_scope,,"The historical place and saved Maps result identify Providence Medical Group Eureka - Obstetrics and Gynecology at 3200 Walford Ave, Eureka, CA 95503. The returned category is Obstetrician-gynecologist, and the title and category do not identify a patient-facing dentist or included dental specialty under the frozen study taxonomy.",https://www.providence.org/locations/norcal/eureka-pediatrics?ls=location&y_source=1_MjM2OTQ3NDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Codex-assisted evidence audit,2026-09-19T00:00:00Z
reference_status:competition_unit:clinic:f04d1ed4f622f661,Eureka_CA_S,competition_unit:clinic:f04d1ed4f622f661,Providence St. Joseph Hospital Eureka Emergency Room,"2700 Dolbeer St, Eureka, CA 95501",95501.0,2,2,0,google:cid:12516709002802335306,Providence St. Joseph Hospital Eureka Emergency Room,Emergency room,"2700 Dolbeer St, Eureka, CA 95501",https://www.providence.org/locations/norcal/st-joseph-hospital-eureka/emergency-department?ls=location&y_source=1_MjQyODI2NTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,False,0.0,True,False,False,1.0,True,False,active_reference_not_rediscovered|active_renamed_or_relocated_location|active_same_historical_location|historical_location_closed|historical_reference_out_of_scope|unresolved,historical_reference_out_of_scope,,"The historical place and saved Maps result identify Providence St. Joseph Hospital Eureka Emergency Room at 2700 Dolbeer St, Eureka, CA 95501. The returned category is Emergency room, and the title and category do not identify a patient-facing dentist or included dental specialty under the frozen study taxonomy.",https://www.providence.org/locations/norcal/st-joseph-hospital-eureka/emergency-department?ls=location&y_source=1_MjQyODI2NTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Codex-assisted evidence audit,2026-09-19T00:00:00Z
reference_status:competition_unit:clinic:eaee1f9dc5828b07,Eureka_CA_S,competition_unit:clinic:eaee1f9dc5828b07,Redwood Aesthetic Medicine,"2451 Buhne St, Eureka, CA 95501",95501.0,1,1,0,google:cid:15997727956704757145,Redwood Aesthetic Medicine,Doctor,"2451 Buhne St, Eureka, CA 95501",https://redwoodaestheticmedicine.com/,,False,0.0,True,False,False,1.0,True,False,active_reference_not_rediscovered|active_renamed_or_relocated_location|active_same_historical_location|historical_location_closed|historical_reference_out_of_scope|unresolved,historical_reference_out_of_scope,,"The historical place and saved Maps result identify Redwood Aesthetic Medicine at 2451 Buhne St, Eureka, CA 95501. The returned category is Doctor, and the title and category do not identify a patient-facing dentist or included dental specialty under the frozen study taxonomy.",https://redwoodaestheticmedicine.com/,Codex-assisted evidence audit,2026-09-19T00:00:00Z
